INTERSECTION_ID,COUNTY,INTERSECTION_GEO,RELATION_TO_CURVE,DIST_TO_CURVE,DIST_TO_INT,INTERSECTION_TYPE,INTERSECTION_SHAPE,INTERSECTION_LEG,INTERSECTION_ANGLE,MAJ_AADT_2015RCI,MIN_AADT_2015RCI,MAX_FUNCLASS,MIN_FUNCLASS,MAX_SPEEDCAT,MIN_SPEEDCAT,MAX_LANECAT,MIN_LANECAT,IF_INTERSECT_ONSYSRD,CRASH_HE_SE,CRASH_HE_SE_TYPE_ANGLE
508219,GLADES,1,no relation,0,167.049476,3wayY,Y,3,83.9,3000,3000,5,4,5,3,1,1,N,0,0
508257,SUWANNEE,1,no relation,0,1362.139348,3wayY,Y,3,83,1000,1000,5,4,5,4,1,1,N,0,0
511818,LEVY,1,no relation,0,84.564315,3wayY,Y,3,81.1,5700,1600,4,3,4,3,2,1,Y,7,1
511823,LEVY,1,no relation,0,375.229219,3wayT,T,3,90,400,400,5,4,6,5,1,1,N,0,0
511840,CALHOUN,1,no relation,0,55.586521,4wayCross,Cross,4,90,4600,1400,5,3,6,5,1,1,Y,1,1
517007,GULF,1,no relation,0,97.696324,4wayCross,Cross,4,90,,,5,4,6,5,1,1,N,0,0
517803,BRADFORD,1,no relation,0,142.055941,3wayY,Y,3,67.5,1100,1100,5,4,5,3,1,1,N,0,0
517918,WAKULLA,1,no relation,0,116.543119,3wayT,T,3,90,5100,5100,5,4,5,4,1,1,N,0,0
517947,LEVY,1,no relation,0,121.029884,3wayT,T,3,90,2800,2800,5,4,6,5,1,1,N,0,0
517948,LEVY,1,no relation,0,609.541893,4wayCross,Cross,4,90,1800,1200,5,4,5,3,1,1,N,0,0
517965,LEVY,1,no relation,0,808.411714,3wayT,T,3,90,1000,150,5,4,5,3,1,1,N,2,0
517978,COLUMBIA,1,no relation,0,69.935476,3wayY,Y,3,81.7,24000,24000,5,5,5,5,1,1,N,0,0
518012,LEVY,1,no relation,0,127.704556,4wayX,X,4,52.2,2800,650,5,4,5,3,1,1,N,0,0
518024,COLUMBIA,1,no relation,0,88.552999,4wayX,X,4,47.7,9000,2600,4,3,4,4,1,1,Y,3,1
518068,JEFFERSON,1,no relation,0,99.942629,3wayT,T,3,90,800,800,5,4,5,4,1,1,N,0,0
518082,LEVY,1,no relation,0,133.64894,3wayY,Y,3,61.1,2100,2100,5,4,5,4,1,1,N,0,0
518086,WAKULLA,1,no relation,0,51.635342,3wayY,Y,3,41.6,3700,3700,5,4,5,3,1,1,N,0,0
518087,WAKULLA,1,no relation,0,59.722619,3wayT,T,3,90,3700,3700,5,4,5,3,1,1,N,0,0
518094,WAKULLA,1,no relation,0,484.757161,3wayY,Y,3,84.2,3700,1700,5,4,5,3,1,1,N,0,0
518110,LAFAYETTE,1,no relation,0,95.242295,3wayT,T,3,90,1600,1600,5,3,6,5,1,1,N,0,0
518136,DIXIE,1,no relation,0,310.688797,4wayX,X,4,41.2,900,900,5,4,5,3,1,1,N,0,0
